audio_path,audio_filename,subtitle,text_for_tts
\voice\pitradio\two,2.wav,two,two
\voice\pitradio\two,3.wav,two,two
\voice\pitradio\up,1.wav,up,up
\voice\pitradio\up,2.wav,up,up
\voice\pitradio\up,3.wav,up,up
\voice\pitradio\was_faster_on_the_exit,1.wav,was faster on the exit,was faster on the exit
\voice\pitradio\was_faster_on_the_exit,2.wav,was faster on the exit,was faster on the exit
\voice\pitradio\was_faster_on_the_exit,3.wav,was faster on the exit,was faster on the exit
\voice\pitradio\which_sector,1.wav,which sector?,which sector?
\voice\pitradio\which_sector,2.wav,which sector?,which sector?
\voice\pitradio\which_sector,3.wav,which sector?,which sector?
\voice\pitradio\yet,1.wav,yet,yet
\voice\pitradio\yet,2.wav,yet,yet
\voice\pitradio\yet,3.wav,yet,yet
\voice\pitradio\you_are_ahead_by,1.wav,you are ahead by,you are ahead by
\voice\pitradio\you_are_ahead_by,2.wav,you are ahead by,you are ahead by
\voice\pitradio\you_are_ahead_by,3.wav,you are ahead by,you are ahead by
\voice\pitradio\you_had_a_better_entry,1.wav,you had a better entry,you had a better entry
\voice\pitradio\you_had_a_better_entry,2.wav,you had a better entry,you had a better entry
\voice\pitradio\you_had_a_better_entry,3.wav,you had a better entry,you had a better entry
\voice\pitradio\you_were_faster_on_the_exit,1.wav,you were faster on the exit,you were faster on the exit
\voice\pitradio\you_were_faster_on_the_exit,2.wav,you were faster on the exit,you were faster on the exit
\voice\pitradio\you_were_faster_on_the_exit,3.wav,you were faster on the exit,you were faster on the exit
\voice\pitradio\your_best,1.wav,your best,your best
\voice\pitradio\your_best,2.wav,your best,your best
\voice\pitradio\your_best,3.wav,your best,your best
\voice\pitradio\yours,1.wav,yours,yours
\voice\pitradio\yours,2.wav,yours,yours
\voice\pitradio\yours,3.wav,yours,yours
\voice\pitradio\zero,1.wav,zero,zero
\voice\pitradio\zero,2.wav,zero,zero
\voice\pitradio\zero,3.wav,zero,zero
